# ra dec
10.66369744 41.26177071
10.66785737 41.26335308
10.67158269 41.26539698
10.67338325 41.26658376
10.67611515 41.26816613
10.67760528 41.26895731
10.68002673 41.27001223
10.68306907 41.27146274
10.68598723 41.27330884
10.6888433 41.2752868
10.69095431 41.27634171
10.69312741 41.27792409
10.69567304 41.27970425
10.70014342 41.28201188
10.70778031 41.2865612
10.71970131 41.29269289
10.72261947 41.29453899
10.72435795 41.28794577
10.71237486 41.28042951
10.7056693 41.27686917
10.70113683 41.27449561
10.69772196 41.27258358
10.69542469 41.27133087
10.69337577 41.2699463
10.69076805 41.26889138
10.68729109 41.26757274
10.68549052 41.26645189
10.68201356 41.26407834
10.67984046 41.26269376
10.67791572 41.26150698
10.67617724 41.26045207
10.67332117 41.2586719
10.66903706 41.25563902
10.66680187 41.2547819
10.66369744 41.26177071
